# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
109.462,5441.643,-69.317,0.236,69.33,0.321,3926.89,7.871,3926.898,0.115,6.587,0.217,32,-105.958,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.216,9.596e6,0,342.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,5.247,-16.015,448.839,321.594,0.5,0.518
109.962,5407.014,-69.2,0.234,69.202,0.249,3923.607,7.869,3923.615,0.115,6.544,0.085,32,-105.958,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.215,9.6e6,0,342.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,6.055,-15.674,450.932,321.8,0.5,0.519
110.462,5372.443,-69.083,0.234,69.09,0.283,3920.355,7.867,3920.363,0.115,6.464,0.16,32,-105.958,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.215,9.607e6,0,342.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,5.495,-15.334,453.022,322.007,0.5,0.519
110.962,5337.93,-68.968,0.231,68.968,0.231,3917.124,7.865,3917.132,0.115,6.462,0.005,32,-105.958,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.214,9.611e6,0,342.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,6.487,-14.994,455.108,322.212,0.5,0.519
111.462,5303.475,-68.851,0.232,68.864,0.305,3913.868,7.864,3913.876,0.115,6.56,0.197,32,-105.958,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.214,9.618e6,0,342.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,7.88,-14.655,457.191,322.418,0.5,0.519
111.962,5269.08,-68.729,0.244,68.82,0.598,3910.52,7.862,3910.528,0.115,6.833,0.546,32,-105.959,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.214,9.634e6,0,343.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,10.374,-14.317,459.27,322.623,0.5,0.519
112.462,5234.745,-68.614,0.231,68.645,0.391,3907.064,7.86,3907.072,0.115,6.991,0.316,32,-105.959,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.213,9.63e6,0,342.339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,9.061,-13.979,461.345,322.828,0.5,0.519
112.962,5200.466,-68.502,0.224,68.507,0.265,3903.586,7.858,3903.594,0.115,6.92,0.142,32,-105.959,9.774,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.212,9.632e6,0,341.981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,6.075,-13.642,463.417,323.032,0.5,0.519
113.462,5166.242,-68.391,0.222,68.392,0.229,3900.119,7.856,3900.127,0.115,6.947,0.053,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.212,9.636e6,0,341.894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,7.344,-13.305,465.486,323.236,0.5,0.519
113.962,5132.075,-68.28,0.221,68.281,0.231,3896.654,7.855,3896.662,0.115,6.914,0.066,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.211,9.641e6,0,341.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,6.554,-12.969,467.551,323.44,0.5,0.519
114.462,5097.962,-68.17,0.22,68.172,0.231,3893.188,7.853,3893.196,0.116,6.95,0.072,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.211,9.646e6,0,341.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,7.463,-12.633,469.613,323.643,0.5,0.519
114.962,5063.905,-68.061,0.219,68.067,0.267,3889.732,7.851,3889.74,0.116,6.874,0.153,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.211,9.651e6,0,341.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.967,-12.298,471.672,323.846,0.5,0.519
115.462,5029.902,-67.951,0.219,67.952,0.228,3886.303,7.849,3886.311,0.116,6.842,0.064,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.21,9.657e6,0,341.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.496,-11.964,473.825,324.049,0.5,0.519
115.962,4995.954,-67.84,0.222,67.859,0.329,3882.852,7.847,3882.86,0.116,6.963,0.243,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.21,9.665e6,0,342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.552,-11.63,475.975,324.251,0.5,0.519
116.462,4962.061,-67.731,0.218,67.732,0.222,3879.365,7.846,3879.373,0.116,6.984,0.041,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.209,9.669e6,0,341.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.3,-11.296,478.122,324.453,0.5,0.519
116.962,4928.223,-67.622,0.219,67.626,0.249,3875.859,7.844,3875.867,0.116,7.043,0.118,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.209,9.675e6,0,341.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.843,-10.963,480.265,324.655,0.5,0.519
117.462,4894.44,-67.51,0.223,67.545,0.407,3872.294,7.842,3872.302,0.116,7.213,0.341,32,-105.959,9.775,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.208,9.685e6,0,342.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,9.403,-10.631,482.404,324.857,0.5,0.519
117.962,4860.712,-67.402,0.216,67.403,0.219,3868.683,7.84,3868.691,0.116,7.231,0.036,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.208,9.685e6,0,341.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.511,-10.299,484.54,325.058,0.5,0.519
118.462,4827.038,-67.294,0.215,67.296,0.227,3865.059,7.838,3865.067,0.116,7.268,0.073,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.207,9.691e6,0,341.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.78,-9.968,486.673,325.258,0.5,0.519
118.962,4793.419,-67.182,0.224,67.241,0.512,3861.482,7.837,3861.49,0.116,7.037,0.46,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.207,9.704e6,0,342.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,4.225,-9.637,488.802,325.459,0.5,0.52
119.462,4759.854,-67.076,0.213,67.085,0.271,3857.943,7.835,3857.951,0.116,7.121,0.168,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.206,9.702e6,0,341.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.224,-9.307,490.928,325.659,0.5,0.52
119.962,4726.342,-66.971,0.21,66.972,0.218,3854.375,7.833,3854.383,0.116,7.15,0.056,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.206,9.705e6,0,341.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.554,-8.977,493.05,325.859,0.5,0.52
120.462,4692.884,-66.864,0.213,66.887,0.346,3850.766,7.831,3850.774,0.117,7.286,0.272,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.205,9.713e6,0,341.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,9.029,-8.648,495.169,326.058,0.5,0.52
120.962,4659.478,-66.76,0.207,66.761,0.209,3847.12,7.829,3847.128,0.117,7.297,0.023,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.205,9.715e6,0,341.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.496,-8.319,497.284,326.257,0.5,0.52
121.462,4626.123,-66.657,0.207,66.661,0.238,3843.457,7.827,3843.465,0.117,7.356,0.117,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.205,9.72e6,0,341.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.137,-7.991,499.396,326.456,0.5,0.52
121.962,4592.82,-66.554,0.205,66.555,0.208,3839.784,7.826,3839.792,0.117,7.337,0.038,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.204,9.724e6,0,341.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.159,-7.663,501.505,326.655,0.5,0.52
122.462,4559.569,-66.452,0.204,66.454,0.225,3836.127,7.824,3836.135,0.117,7.29,0.093,32,-105.959,9.776,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.204,9.729e6,0,341.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.77,-7.336,503.626,326.853,0.5,0.52
122.962,4526.369,-66.349,0.207,66.362,0.303,3832.51,7.822,3832.518,0.117,7.18,0.221,32,-105.959,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.203,9.737e6,0,341.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.871,-7.01,505.827,327.051,0.5,0.52
123.462,4493.221,-66.243,0.211,66.282,0.434,3828.967,7.82,3828.975,0.117,6.99,0.379,32,-105.959,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.203,9.746e6,0,341.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,4.715,-6.684,508.025,327.249,0.5,0.52
123.962,4460.125,-66.14,0.207,66.161,0.35,3825.508,7.818,3825.516,0.117,6.849,0.282,32,-105.959,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.202,9.749e6,0,341.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.171,-6.358,510.219,327.446,0.5,0.52
124.462,4427.081,-66.038,0.204,66.048,0.274,3822.06,7.816,3822.068,0.117,6.94,0.182,32,-105.959,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.202,9.753e6,0,341.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.112,-6.033,512.409,327.643,0.5,0.52
124.962,4394.087,-65.935,0.206,65.956,0.335,3818.557,7.815,3818.565,0.117,7.072,0.265,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.202,9.76e6,0,341.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.746,-5.708,514.597,327.84,0.5,0.52
125.462,4361.145,-65.834,0.201,65.836,0.22,3815.032,7.813,3815.04,0.117,7.028,0.088,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.201,9.762e6,0,341.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.542,-5.384,516.781,328.036,0.5,0.52
125.962,4328.253,-65.734,0.201,65.736,0.212,3811.509,7.811,3811.517,0.117,7.063,0.069,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.201,9.768e6,0,341.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.537,-5.061,518.961,328.232,0.5,0.52
126.462,4295.411,-65.634,0.2,65.636,0.214,3807.968,7.809,3807.976,0.117,7.101,0.077,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.2,9.773e6,0,341.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.626,-4.737,521.138,328.428,0.5,0.52
126.962,4262.619,-65.535,0.199,65.535,0.201,3804.421,7.807,3804.429,0.118,7.086,0.031,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.2,9.777e6,0,341.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.949,-4.415,523.312,328.623,0.5,0.52
127.462,4229.877,-65.435,0.2,65.448,0.304,3800.907,7.805,3800.915,0.118,6.972,0.228,32,-105.96,9.777,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.199,9.784e6,0,341.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.638,-4.093,525.483,328.819,0.5,0.521
127.962,4197.185,-65.335,0.199,65.35,0.313,3797.452,7.804,3797.46,0.118,6.851,0.242,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.199,9.789e6,0,341.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.437,-3.771,527.65,329.014,0.5,0.521
128.462,4164.541,-65.237,0.195,65.24,0.212,3794.016,7.802,3794.024,0.118,6.893,0.084,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.198,9.792e6,0,341.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.453,-3.45,529.814,329.208,0.5,0.521
128.962,4131.947,-65.14,0.194,65.144,0.23,3790.585,7.8,3790.593,0.118,6.831,0.122,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.198,9.796e6,0,341.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.144,-3.129,531.974,329.402,0.5,0.521
129.462,4099.401,-65.044,0.193,65.046,0.208,3787.159,7.798,3787.167,0.118,6.871,0.078,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.198,9.8e6,0,340.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.396,-2.809,534.132,329.597,0.5,0.521
129.962,4066.903,-64.947,0.194,64.962,0.294,3783.696,7.796,3783.704,0.118,6.981,0.221,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.197,9.807e6,0,341.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.366,-2.49,536.286,329.79,0.5,0.521
130.462,4034.454,-64.849,0.196,64.876,0.361,3780.168,7.795,3780.176,0.118,7.133,0.304,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.197,9.814e6,0,341.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,9.011,-2.17,538.532,329.984,0.5,0.521
130.962,4002.053,-64.754,0.191,64.755,0.21,3776.612,7.793,3776.62,0.118,7.09,0.087,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.196,9.816e6,0,340.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.622,-1.852,540.778,330.177,0.5,0.521
131.462,3969.7,-64.658,0.191,64.658,0.191,3773.066,7.791,3773.074,0.118,7.093,0.008,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.196,9.821e6,0,340.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.191,-1.533,543.022,330.37,0.5,0.521
131.962,3937.395,-64.561,0.195,64.586,0.368,3769.559,7.789,3769.567,0.118,6.938,0.312,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.196,9.83e6,0,341.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.125,-1.216,545.262,330.562,0.5,0.521
132.462,3905.139,-64.466,0.19,64.469,0.222,3766.104,7.787,3766.112,0.118,6.88,0.114,32,-105.96,9.778,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.195,9.832e6,0,340.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.248,-0.898,547.498,330.755,0.5,0.521
132.962,3872.93,-64.371,0.19,64.377,0.248,3762.684,7.786,3762.692,0.119,6.801,0.158,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.195,9.838e6,0,340.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.907,-0.581,549.731,330.947,0.5,0.521
133.462,3840.769,-64.274,0.193,64.301,0.362,3759.245,7.784,3759.253,0.119,6.955,0.307,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.194,9.846e6,0,341.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.832,-0.265,551.961,331.138,0.5,0.521
133.962,3808.655,-64.18,0.187,64.183,0.211,3755.755,7.782,3755.763,0.119,7.003,0.097,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.194,9.847e6,0,340.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.629,0.051,554.188,331.33,0.5,0.521
134.462,3776.589,-64.083,0.194,64.127,0.439,3752.205,7.78,3752.213,0.119,7.2,0.393,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.194,9.857e6,0,341.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,9.585,0.366,556.412,331.521,0.5,0.521
134.962,3744.571,-63.991,0.184,63.991,0.185,3748.607,7.779,3748.615,0.119,7.19,0.019,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.193,9.855e6,0,340.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,7.131,0.681,558.632,331.712,0.5,0.521
135.462,3712.599,-63.897,0.188,63.925,0.377,3745.053,7.777,3745.061,0.119,7.027,0.327,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.193,9.864e6,0,341.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.142,0.996,560.848,331.902,0.5,0.521
135.962,3680.673,-63.806,0.182,63.807,0.201,3741.55,7.775,3741.558,0.119,6.985,0.084,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.192,9.865e6,0,340.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.538,1.31,563.062,332.093,0.5,0.521
136.462,3648.793,-63.713,0.185,63.735,0.342,3738.094,7.773,3738.102,0.119,6.841,0.287,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.192,9.872e6,0,340.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.195,1.624,565.272,332.283,0.5,0.522
136.962,3616.96,-63.622,0.183,63.641,0.33,3734.708,7.771,3734.716,0.119,6.703,0.275,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.192,9.876e6,0,340.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.131,1.937,567.48,332.473,0.5,0.522
137.462,3585.171,-63.531,0.181,63.55,0.311,3731.324,7.77,3731.332,0.119,6.83,0.253,32,-105.96,9.779,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.191,9.88e6,0,340.768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,8.371,2.249,569.684,332.662,0.5,0.522
137.962,3553.428,-63.441,0.181,63.458,0.319,3727.942,7.768,3727.95,0.119,6.699,0.263,32,-105.96,9.78,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.191,9.884e6,0,340.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,5.205,2.562,571.924,332.851,0.5,0.522
138.462,3521.73,-63.352,0.178,63.352,0.178,3724.591,7.766,3724.599,0.119,6.706,0.014,32,-105.961,9.78,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.19,9.888e6,0,340.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.838,2.873,574.221,333.04,0.5,0.522
138.962,3490.076,-63.263,0.178,63.265,0.203,3721.25,7.764,3721.258,0.12,6.657,0.097,32,-105.961,9.78,NaN,NaN,NaN,NaN,3.42e4,9070.294,NaN,NaN,NaN,NaN,NaN,0.19,9.893e6,0,340.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,6.135,3.185,576.515,333.229,0.5,0.522
